id,question,expected_pipeline,actual_pipeline,ok,answer,sources
T001,price of yaris cross,CSV_METHOD,CSV_METHOD,True,"The **Yaris Cross HEV** is priced at **$43,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
T002,how much is toyota raize,CSV_METHOD,CSV_METHOD,True,"The **Raize** is priced at **$26,800** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/raize/raize.html#specifications
T003,what is the price of corolla cross,CSV_METHOD,CSV_METHOD,True,"The **COROLLA CROSS GASOLINE** is priced at **$47,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
T004,starting price of hilux,CSV_METHOD,CSV_METHOD,True,"The **Hilux Revo Rally** is priced at **$50,600** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications
T005,cost of toyota veloz,CSV_METHOD,CSV_METHOD,True,"The **Veloz** is priced at **$35,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications
T006,how much does fortuner cost,CSV_METHOD,CSV_METHOD,True,"The **Fortuner Legender** is priced at **$65,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
T007,price of toyota vios,CSV_METHOD,CSV_METHOD,True,"The **Vios** is priced at **$33,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/vios/vios.html#specifications
T008,what is the price for camry,CSV_METHOD,CSV_METHOD,True,"The **Vios** is priced at **$33,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/vios/vios.html#specifications
T009,how much is toyota alphard,CSV_METHOD,CSV_METHOD,True,"The **Vios** is priced at **$33,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/vios/vios.html#specifications
T010,starting price for land cruiser,CSV_METHOD,CSV_METHOD,True,"The **Land Cruiser ZX** is priced at **$188,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/land-cruiser/land-cruiser-zx.html#specifications
T011,specs of yaris cross,CSV_METHOD,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Yaris Cross HEV**:

**Price:** $43,500
**Seats:** N/A
**Fuel:** Hybrid
**Body type:** SUV
**Transmission:** CVT
**Engine:** 1.5 L, 4-cylinder gasoline, in-line, 16-valve DOHV Chain Drive with Dual VVT-i",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color
T012,engine specs of toyota raize,CSV_METHOD,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Raize**:

**Price:** $26,800
**Seats:** 5.0
**Fuel:** Gasoline
**Body type:** SUV
**Transmission:** 7-speed CVT
**Engine:** 1.0 L, 3-cylinder gasoline, in-line, 12-valve DOHC, DVVT",https://www.toyota.com.kh/en/models/raize/raize.html#specifications
T013,tell me specifications of corolla cross,CSV_METHOD,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **COROLLA CROSS GASOLINE**:

**Price:** $47,900
**Seats:** 5.0
**Fuel:** Gasoline
**Body type:** SUV
**Transmission:** 7-speed CVT
**Engine:** 1.8 L, 4-cylinder gasoline, in-line, 16-valve DOHC, Dual VVT-i",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications
T014,what engine does hilux use,CSV_METHOD,CSV_METHOD,True,"The **Hilux Revo Rally** has **Engine type**: **2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC**.",https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-rally.html#specifications
T015,specs for toyota veloz,CSV_METHOD,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Veloz**:

**Price:** $35,900
**Seats:** 7.0
**Fuel:** Gasoline
**Body type:** MVP
**Transmission:** CVT
**Engine:** 1.5 L, 4-cylinder gasoline, in-line, 16-valve DOHC Chain Drive with Dual VVT-i",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications
T016,what transmission does vios have,CSV_METHOD,SYSTEM,False,That feature is not available in the dataset yet.,
T017,fuel type of toyota camry,CSV_METHOD,CSV_METHOD,True,The **Vios** has **Fuel type**: **gasoline**.,https://www.toyota.com.kh/en/models/vios/vios.html#specifications
T018,how many seats does fortuner have,CSV_METHOD,CSV_METHOD,True,The **Fortuner Legender** has **Seats**: **7.0**.,https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
T019,engine capacity of toyota alphard,CSV_METHOD,CSV_METHOD,True,"The **Fortuner Legender** has **Engine type**: **2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC**.",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications
